Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_19_12_12,Exp_social,85.03333333333333,87.03333333333333,2551,2610,2.0
0428_19_12_12,Exp_social,124.36666666666666,125.7,3731,3770,1.3333333333333333
0428_19_12_12,Exp_social,139.36666666666667,140.7,4181,4220,1.3333333333333333
0428_19_12_12,Exp_social,163.7,164.66666666666666,4911,4939,0.9666666666666667
0428_19_12_12,Exp_social,201.66666666666666,203.7,6050,6110,2.033333333333333
0428_19_12_12,Exp_social,222.8,223.33333333333334,6684,6699,0.5333333333333333
0428_19_12_12,Exp_social,225.23333333333332,227.2,6757,6815,1.9666666666666666
0428_19_12_12,Exp_social,264.3,264.8333333333333,7929,7944,0.5333333333333333
0428_19_12_12,Exp_social,289.9,290.7,8697,8720,0.8
0428_19_12_12,Exp_social,323.6333333333333,326.6666666666667,9709,9799,3.033333333333333
0428_19_12_12,Exp_social,330.1,330.6333333333333,9903,9918,0.5333333333333333
0428_19_12_12,Exp_social,331.96666666666664,334.1333333333333,9959,10023,2.1666666666666665
0428_19_12_12,Exp_social,334.9,338.26666666666665,10047,10147,3.3666666666666667
0428_19_12_12,Exp_social,414.23333333333335,414.93333333333334,12427,12447,0.7
0428_19_12_12,Exp_social,432.1666666666667,432.73333333333335,12965,12981,0.5666666666666667
0428_19_12_12,Exp_social,442.0,442.9,13260,13286,0.9
0428_19_12_12,Exp_social,471.1,473.3,14133,14198,2.2
0428_19_12_12,Exp_social,482.2,483.1333333333333,14466,14493,0.9333333333333333
0428_19_12_12,Exp_social,483.8666666666667,485.5,14516,14564,1.6333333333333333
0428_19_12_12,Exp_social,496.23333333333335,497.8666666666667,14887,14935,1.6333333333333333
0428_19_12_12,Exp_social,509.8333333333333,512.2333333333333,15295,15366,2.4
0428_19_12_12,Exp_social,581.0333333333333,582.8666666666667,17431,17485,1.8333333333333333
0428_19_12_12,Exp_social,592.8666666666667,594.5,17786,17834,1.6333333333333333
0428_19_12_12,Exp_withdraw,196.16666666666666,197.56666666666666,5885,5926,1.4
0428_19_12_12,Exp_withdraw,201.1,201.43333333333334,6033,6042,0.3333333333333333
0428_19_12_12,Exp_withdraw,328.9,329.6,9867,9887,0.7
0428_19_12_12,Exp_withdraw,448.56666666666666,449.2,13457,13475,0.6333333333333333
0428_19_12_12,Exp_withdraw,449.76666666666665,450.1333333333333,13493,13503,0.36666666666666664
0428_19_12_12,Exp_freeze,399.0,400.53333333333336,11970,12015,1.5333333333333334
0428_19_12_12,Exp_freeze,402.26666666666665,403.1666666666667,12068,12094,0.9
0428_19_12_12,Both_social,32.4,33.36666666666667,972,1000,0.9666666666666667
0428_19_12_12,Both_social,44.7,51.03333333333333,1341,1530,6.333333333333333
0428_19_12_12,Both_social,96.36666666666666,98.36666666666666,2891,2950,2.0
0428_19_12_12,Both_social,162.73333333333332,163.7,4882,4910,0.9666666666666667
0428_19_12_12,Both_social,328.3,328.9,9849,9866,0.6
0428_21_33_38,Exp_social,3.3666666666666667,78.03333333333333,101,2340,74.66666666666667
0428_21_33_38,Exp_social,98.03333333333333,100.36666666666666,2941,3010,2.3333333333333335
0428_21_33_38,Exp_social,208.46666666666667,209.0,6254,6269,0.5333333333333333
0428_21_33_38,Exp_social,224.76666666666668,225.3,6743,6758,0.5333333333333333
0428_21_33_38,Exp_social,260.3666666666667,261.3333333333333,7811,7839,0.9666666666666667
0428_21_33_38,Exp_social,295.73333333333335,298.93333333333334,8872,8967,3.2
0428_21_33_38,Exp_social,301.1333333333333,302.53333333333336,9034,9075,1.4
0428_21_33_38,Exp_social,356.3333333333333,356.8666666666667,10690,10705,0.5333333333333333
0428_21_33_38,Exp_social,377.03333333333336,380.4,11311,11411,3.3666666666666667
0428_21_33_38,Exp_social,411.1666666666667,412.9,12335,12386,1.7333333333333334
0428_21_33_38,Exp_social,414.9,416.6333333333333,12447,12498,1.7333333333333334
0428_21_33_38,Exp_social,478.1,485.4,14343,14561,7.3
0428_21_33_38,Exp_social,490.4,493.06666666666666,14712,14791,2.6666666666666665
0428_21_33_38,Exp_social,493.6666666666667,496.3666666666667,14810,14890,2.7
0428_21_33_38,Exp_social,502.4,503.3666666666667,15072,15100,0.9666666666666667
0428_21_33_38,Exp_social,515.3666666666667,516.0333333333333,15461,15480,0.6666666666666666
0428_21_33_38,Exp_social,521.1,521.8666666666667,15633,15655,0.7666666666666667
0428_21_33_38,Exp_social,523.3,524.9,15699,15746,1.6
0428_21_33_38,Exp_social,547.2,549.0333333333333,16416,16470,1.8333333333333333
0428_21_33_38,Exp_social,549.7,551.1333333333333,16491,16533,1.4333333333333333
0428_21_33_38,Exp_social,551.8333333333334,552.6666666666666,16555,16579,0.8333333333333334
0428_21_33_38,Exp_social,575.5333333333333,584.9333333333333,17266,17547,9.4
0428_21_33_38,Exp_withdraw,143.73333333333332,147.0,4312,4409,3.2666666666666666
0428_21_33_38,Exp_withdraw,149.73333333333332,150.36666666666667,4492,4510,0.6333333333333333
0428_21_33_38,Exp_withdraw,195.6,196.06666666666666,5868,5881,0.4666666666666667
0428_21_33_38,Exp_withdraw,239.36666666666667,239.86666666666667,7181,7195,0.5
0428_21_33_38,Exp_withdraw,359.8666666666667,360.3,10796,10808,0.43333333333333335
0428_21_33_38,Exp_withdraw,585.3333333333334,587.8666666666667,17560,17635,2.533333333333333
0428_21_33_38,Exp_withdraw,605.2333333333333,606.5666666666667,18157,18196,1.3333333333333333
0428_21_33_38,Both_social,88.36666666666666,89.7,2651,2690,1.3333333333333333
0428_21_33_38,Both_social,136.7,137.7,4101,4130,1.0
0428_21_33_38,Both_social,172.36666666666667,173.66666666666666,5171,5209,1.3
0428_21_33_38,Both_social,317.1666666666667,317.76666666666665,9515,9532,0.6
0428_21_33_38,Both_social,468.9,469.3,14067,14078,0.4
0428_21_33_38,Both_social,501.8333333333333,502.43333333333334,15055,15072,0.6
0428_17_59_14,Exp_social,111.0,112.9,3330,3386,1.9
0428_17_59_14,Exp_social,148.36666666666667,149.46666666666667,4451,4483,1.1
0428_17_59_14,Exp_social,152.93333333333334,154.03333333333333,4588,4620,1.1
0428_17_59_14,Exp_social,163.7,169.36666666666667,4911,5080,5.666666666666667
0428_17_59_14,Exp_social,243.03333333333333,244.7,7291,7340,1.6666666666666667
0428_17_59_14,Exp_social,253.03333333333333,254.36666666666667,7591,7630,1.3333333333333333
0428_17_59_14,Exp_social,342.03333333333336,344.53333333333336,10261,10335,2.5
0428_17_59_14,Exp_social,407.8333333333333,409.2,12235,12275,1.3666666666666667
0428_17_59_14,Exp_social,414.8666666666667,416.3666666666667,12446,12490,1.5
0428_17_59_14,Exp_social,441.43333333333334,444.6,13243,13337,3.1666666666666665
0428_17_59_14,Exp_social,465.8,466.3,13974,13988,0.5
0428_17_59_14,Exp_social,466.93333333333334,467.96666666666664,14008,14038,1.0333333333333334
0428_17_59_14,Exp_social,511.06666666666666,512.1333333333333,15332,15363,1.0666666666666667
0428_17_59_14,Exp_social,513.9666666666667,514.6333333333333,15419,15438,0.6666666666666666
0428_17_59_14,Exp_withdraw,18.033333333333335,22.7,541,680,4.666666666666667
0428_17_59_14,Exp_withdraw,103.4,105.03333333333333,3102,3150,1.6333333333333333
0428_17_59_14,Exp_withdraw,125.03333333333333,126.03333333333333,3751,3780,1.0
0428_17_59_14,Exp_withdraw,136.03333333333333,137.03333333333333,4081,4110,1.0
0428_17_59_14,Exp_withdraw,156.36666666666667,160.7,4691,4820,4.333333333333333
0428_17_59_14,Exp_withdraw,172.36666666666667,174.0,5171,5219,1.6333333333333333
0428_17_59_14,Exp_withdraw,204.7,207.7,6141,6230,3.0
0428_17_59_14,Exp_withdraw,211.7,214.36666666666667,6351,6430,2.6666666666666665
0428_17_59_14,Exp_withdraw,219.7,221.03333333333333,6591,6630,1.3333333333333333
0428_17_59_14,Exp_withdraw,237.0,237.7,7110,7130,0.7
